,Infected_vac,Infected_not_vac,city_sus_above65,city_sus_below65,rural_sus_above65,rural_sus_below65,Resistant_vac,Resistant_nature,Death,Vccinated_state,State_VACC_NO,State_VACC_YES,accumulated_infected_number,Path_No
0,0,55,31,126,6,37,0,129,0,0,0,616,184,3
1,182,62,29,120,6,37,147,129,0,1,1,287,373,3
2,286,71,25,117,5,35,254,129,0,2,2,76,486,3
3,296,82,21,112,5,32,264,129,0,3,3,56,507,3
4,299,87,19,109,5,31,265,129,0,4,4,52,515,3
5,306,99,16,102,4,29,267,129,0,5,5,43,534,3
6,306,104,13,99,4,29,269,129,0,6,6,41,539,3
7,306,105,13,98,4,29,270,129,0,7,6,40,540,3
8,306,107,12,96,4,29,270,129,0,8,7,40,542,3
9,306,116,11,87,4,29,271,129,0,9,8,39,551,3
10,306,119,9,86,4,28,271,129,0,10,9,39,554,3
11,306,123,9,82,4,28,271,129,0,11,9,39,558,3
12,306,129,9,76,4,28,272,129,0,12,9,38,564,3
13,308,132,9,74,3,27,272,129,0,13,10,36,569,3
14,308,136,8,71,3,26,272,129,0,14,11,36,573,3
15,309,142,7,65,3,26,273,129,0,15,11,35,580,3
16,312,146,6,62,3,25,274,129,0,16,11,32,587,3
17,315,149,6,59,3,25,275,129,0,17,10,29,593,3
18,315,150,6,57,3,25,275,129,0,18,11,29,594,3
19,315,155,6,53,3,24,276,129,0,19,10,29,599,3
20,316,159,6,49,3,23,277,129,0,20,11,27,604,3
21,318,163,6,45,3,22,278,129,0,21,11,25,610,3
22,319,166,4,44,3,21,279,129,0,22,11,24,614,3
23,319,168,4,41,3,21,279,129,0,23,12,24,616,3
24,319,170,4,39,3,20,280,129,0,24,12,24,618,3
25,319,174,3,36,3,19,280,129,0,25,12,25,622,3
26,319,176,2,34,3,19,281,129,0,26,13,24,624,3
27,320,177,2,34,3,18,282,129,0,27,12,23,626,3
28,320,179,2,31,3,18,282,129,0,28,12,24,628,3
29,0,121,1,28,3,18,283,508,3,29,11,24,632,3
30,0,113,1,28,2,17,284,517,3,30,11,24,633,3
31,0,102,1,27,2,17,284,529,3,31,11,24,634,3
32,0,97,1,27,2,16,284,534,3,32,11,25,634,3
33,0,85,1,26,2,16,284,547,3,33,12,24,635,3
34,0,81,1,25,2,15,284,551,4,34,12,25,636,3
35,0,80,1,24,2,15,284,552,4,35,12,26,636,3
36,0,78,1,23,2,15,285,554,4,36,12,26,636,3
37,0,70,1,22,2,14,285,563,4,37,12,27,637,3
38,1,67,1,22,2,13,285,566,4,38,12,27,638,3
39,0,64,1,21,1,13,285,571,4,39,13,27,639,3
40,0,58,1,21,1,12,285,577,4,40,13,28,639,3
41,0,55,1,20,1,12,285,580,4,41,13,29,639,3
42,0,52,1,20,1,10,285,584,4,42,13,30,640,3
43,0,46,1,19,1,10,285,590,4,43,14,30,640,3
44,0,42,1,18,1,10,285,594,4,44,14,31,640,3
45,0,39,1,18,1,9,285,597,4,45,14,32,640,3
46,0,38,1,18,1,8,285,598,4,46,14,33,640,3
47,0,33,1,17,1,8,286,603,4,47,14,33,640,3
48,0,29,1,17,1,7,286,607,4,48,14,34,640,3
49,0,25,1,16,1,7,286,610,5,49,14,35,640,3
50,1,22,1,16,0,7,286,613,5,50,14,35,641,3
51,0,20,1,15,0,7,286,616,5,51,14,36,641,3
52,0,18,1,14,0,7,286,618,5,52,14,37,641,3
53,0,14,1,13,0,7,286,622,5,53,14,38,641,3
54,0,12,1,13,0,6,286,624,5,54,14,39,641,3
55,0,11,1,12,0,6,286,625,5,55,14,40,641,3
56,0,9,1,11,0,6,286,627,5,56,14,41,641,3
57,0,5,1,11,0,6,286,631,5,56,13,42,641,3
58,0,4,1,11,0,6,286,632,5,56,12,43,641,3
59,0,4,1,11,0,6,286,632,5,56,11,44,641,3
60,0,4,1,11,0,6,286,632,5,56,10,45,641,3
61,0,4,1,11,0,6,286,632,5,56,9,46,641,3
62,0,3,1,11,0,6,286,633,5,56,8,47,641,3
63,0,3,1,11,0,6,287,633,5,56,7,47,641,3
64,0,3,1,11,0,6,287,633,5,56,6,48,641,3
65,0,2,1,11,0,6,287,634,5,56,5,49,641,3
66,0,2,1,11,0,6,287,634,5,56,4,50,641,3
67,0,1,1,11,0,6,287,635,5,56,3,51,641,3
68,0,1,1,11,0,6,287,635,5,56,2,52,641,3
69,0,1,1,11,0,6,287,635,5,56,1,53,641,3
70,0,0,1,11,0,6,287,636,5,56,0,54,641,3
71,0,0,1,11,0,6,287,636,5,56,0,54,641,3
72,0,0,1,11,0,6,287,636,5,56,0,54,641,3
73,0,0,1,11,0,6,287,636,5,56,0,54,641,3
74,0,0,1,11,0,6,287,636,5,56,0,54,641,3
75,0,0,1,11,0,6,287,636,5,56,0,54,641,3
76,0,0,1,11,0,6,287,636,5,56,0,54,641,3
77,0,0,1,11,0,6,287,636,5,56,0,54,641,3
78,0,0,1,11,0,6,287,636,5,56,0,54,641,3
79,0,0,1,11,0,6,287,636,5,56,0,54,641,3
80,0,0,1,11,0,6,287,636,5,56,0,54,641,3
81,0,0,1,11,0,6,287,636,5,56,0,54,641,3
82,0,0,1,11,0,6,287,636,5,56,0,54,641,3
83,0,0,1,11,0,6,287,636,5,56,0,54,641,3
84,0,0,1,11,0,6,287,636,5,56,0,54,641,3
85,0,0,1,11,0,6,287,636,5,56,0,54,641,3
86,0,0,1,11,0,6,287,636,5,56,0,54,641,3
87,0,0,1,11,0,6,287,636,5,56,0,54,641,3
88,0,0,1,11,0,6,287,636,5,56,0,54,641,3
89,0,0,1,11,0,6,287,636,5,56,0,54,641,3
90,0,0,1,11,0,6,287,636,5,56,0,54,641,3
91,0,0,1,11,0,6,287,636,5,56,0,54,641,3
92,0,0,1,11,0,6,287,636,5,56,0,54,641,3
93,0,0,1,11,0,6,287,636,5,56,0,54,641,3
94,0,0,1,11,0,6,287,636,5,56,0,54,641,3
95,0,0,1,11,0,6,287,636,5,56,0,54,641,3
96,0,0,1,11,0,6,287,636,5,56,0,54,641,3
97,0,0,1,11,0,6,287,636,5,56,0,54,641,3
98,0,0,1,11,0,6,287,636,5,56,0,54,641,3
99,0,0,1,11,0,6,287,636,5,56,0,54,641,3
100,0,0,1,11,0,6,287,636,5,56,0,54,641,3
101,0,0,1,11,0,6,287,636,5,56,0,54,641,3
102,0,0,1,11,0,6,287,636,5,56,0,54,641,3
103,0,0,1,11,0,6,287,636,5,56,0,54,641,3
104,0,0,1,11,0,6,287,636,5,56,0,54,641,3
105,0,0,1,11,0,6,287,636,5,56,0,54,641,3
106,0,0,1,11,0,6,287,636,5,56,0,54,641,3
107,0,0,1,11,0,6,287,636,5,56,0,54,641,3
108,0,0,1,11,0,6,287,636,5,56,0,54,641,3
109,0,0,1,11,0,6,287,636,5,56,0,54,641,3
110,0,0,1,11,0,6,287,636,5,56,0,54,641,3
111,0,0,1,11,0,6,287,636,5,56,0,54,641,3
112,0,0,1,11,0,6,287,636,5,56,0,54,641,3
113,0,0,1,11,0,6,287,636,5,56,0,54,641,3
114,0,0,1,11,0,6,287,636,5,56,0,54,641,3
115,0,0,1,11,0,6,287,636,5,56,0,54,641,3
116,0,0,1,11,0,6,287,636,5,56,0,54,641,3
117,0,0,1,11,0,6,287,636,5,56,0,54,641,3
118,0,0,1,11,0,6,287,636,5,56,0,54,641,3
119,0,0,1,11,0,6,287,636,5,56,0,54,641,3
120,0,0,1,11,0,6,287,636,5,56,0,54,641,3
121,0,0,1,11,0,6,287,636,5,56,0,54,641,3
122,0,0,1,11,0,6,287,636,5,56,0,54,641,3
123,0,0,1,11,0,6,287,636,5,56,0,54,641,3
124,0,0,1,11,0,6,287,636,5,56,0,54,641,3
125,0,0,1,11,0,6,287,636,5,56,0,54,641,3
126,0,0,1,11,0,6,287,636,5,56,0,54,641,3
127,0,0,1,11,0,6,287,636,5,56,0,54,641,3
128,0,0,1,11,0,6,287,636,5,56,0,54,641,3
129,0,0,1,11,0,6,287,636,5,56,0,54,641,3
130,0,0,1,11,0,6,287,636,5,56,0,54,641,3
131,0,0,1,11,0,6,287,636,5,56,0,54,641,3
132,0,0,1,11,0,6,287,636,5,56,0,54,641,3
133,0,0,1,11,0,6,287,636,5,56,0,54,641,3
134,0,0,1,11,0,6,287,636,5,56,0,54,641,3
135,0,0,1,11,0,6,287,636,5,56,0,54,641,3
136,0,0,1,11,0,6,287,636,5,56,0,54,641,3
137,0,0,1,11,0,6,287,636,5,56,0,54,641,3
138,0,0,1,11,0,6,287,636,5,56,0,54,641,3
139,0,0,1,11,0,6,287,636,5,56,0,54,641,3
140,0,0,1,11,0,6,287,636,5,56,0,54,641,3
141,0,0,1,11,0,6,287,636,5,56,0,54,641,3
142,0,0,1,11,0,6,287,636,5,56,0,54,641,3
143,0,0,1,11,0,6,287,636,5,56,0,54,641,3
144,0,0,1,11,0,6,287,636,5,56,0,54,641,3
145,0,0,1,11,0,6,287,636,5,56,0,54,641,3
146,0,0,1,11,0,6,287,636,5,56,0,54,641,3
147,0,0,1,11,0,6,287,636,5,56,0,54,641,3
148,0,0,1,11,0,6,287,636,5,56,0,54,641,3
149,0,0,1,11,0,6,287,636,5,56,0,54,641,3
150,0,0,1,11,0,6,287,636,5,56,0,54,641,3
151,0,0,1,11,0,6,287,636,5,56,0,54,641,3
152,0,0,1,11,0,6,287,636,5,56,0,54,641,3
153,0,0,1,11,0,6,287,636,5,56,0,54,641,3
154,0,0,1,11,0,6,287,636,5,56,0,54,641,3
155,0,0,1,11,0,6,287,636,5,56,0,54,641,3
156,0,0,1,11,0,6,287,636,5,56,0,54,641,3
157,0,0,1,11,0,6,287,636,5,56,0,54,641,3
158,0,0,1,11,0,6,287,636,5,56,0,54,641,3
159,0,0,1,11,0,6,287,636,5,56,0,54,641,3
160,0,0,1,11,0,6,287,636,5,56,0,54,641,3
161,0,0,1,11,0,6,287,636,5,56,0,54,641,3
162,0,0,1,11,0,6,287,636,5,56,0,54,641,3
163,0,0,1,11,0,6,287,636,5,56,0,54,641,3
164,0,0,1,11,0,6,287,636,5,56,0,54,641,3
165,0,0,1,11,0,6,287,636,5,56,0,54,641,3
166,0,0,1,11,0,6,287,636,5,56,0,54,641,3
167,0,0,1,11,0,6,287,636,5,56,0,54,641,3
168,0,0,1,11,0,6,287,636,5,56,0,54,641,3
169,0,0,1,11,0,6,287,636,5,56,0,54,641,3
170,0,0,1,11,0,6,287,636,5,56,0,54,641,3
171,0,0,1,11,0,6,287,636,5,56,0,54,641,3
172,0,0,1,11,0,6,287,636,5,56,0,54,641,3
173,0,0,1,11,0,6,287,636,5,56,0,54,641,3
174,0,0,1,11,0,6,287,636,5,56,0,54,641,3
175,0,0,1,11,0,6,287,636,5,56,0,54,641,3
176,0,0,1,11,0,6,287,636,5,56,0,54,641,3
177,0,0,1,11,0,6,287,636,5,56,0,54,641,3
178,0,0,1,11,0,6,287,636,5,56,0,54,641,3
179,0,0,1,11,0,6,287,636,5,56,0,54,641,3
180,0,0,1,11,0,6,287,636,5,56,0,54,641,3
181,0,0,1,11,0,6,287,636,5,56,0,54,641,3
182,0,0,1,11,0,6,287,636,5,56,0,54,641,3
183,0,0,1,11,0,6,287,636,5,56,0,54,641,3
184,0,0,1,11,0,6,287,636,5,56,0,54,641,3
185,0,0,1,11,0,6,287,636,5,56,0,54,641,3
186,0,0,1,11,0,6,287,636,5,56,0,54,641,3
187,0,0,1,11,0,6,287,636,5,56,0,54,641,3
188,0,0,1,11,0,6,287,636,5,56,0,54,641,3
189,0,0,1,11,0,6,287,636,5,56,0,54,641,3
190,0,0,1,11,0,6,287,636,5,56,0,54,641,3
191,0,0,1,11,0,6,287,636,5,56,0,54,641,3
192,0,0,1,11,0,6,287,636,5,56,0,54,641,3
193,0,0,1,11,0,6,287,636,5,56,0,54,641,3
194,0,0,1,11,0,6,287,636,5,56,0,54,641,3
195,0,0,1,11,0,6,287,636,5,56,0,54,641,3
196,0,0,1,11,0,6,287,636,5,56,0,54,641,3
197,0,0,1,11,0,6,287,636,5,56,0,54,641,3
198,0,0,1,11,0,6,287,636,5,56,0,54,641,3
199,0,0,1,11,0,6,287,636,5,56,0,54,641,3
200,0,0,1,11,0,6,287,636,5,56,0,54,641,3
201,0,0,1,11,0,6,287,636,5,56,0,54,641,3
202,0,0,1,11,0,6,287,636,5,56,0,54,641,3
203,0,0,1,11,0,6,287,636,5,56,0,54,641,3
204,0,0,1,11,0,6,287,636,5,56,0,54,641,3
205,0,0,1,11,0,6,287,636,5,56,0,54,641,3
206,0,0,1,11,0,6,287,636,5,56,0,54,641,3
207,0,0,1,11,0,6,287,636,5,56,0,54,641,3
208,0,0,1,11,0,6,287,636,5,56,0,54,641,3
209,0,0,1,11,0,6,287,636,5,56,0,54,641,3
210,0,0,1,11,0,6,287,636,5,56,0,54,641,3
211,0,0,1,11,0,6,287,636,5,56,0,54,641,3
212,0,0,1,11,0,6,287,636,5,56,0,54,641,3
213,0,0,1,11,0,6,287,636,5,56,0,54,641,3
214,0,0,1,11,0,6,287,636,5,56,0,54,641,3
215,0,0,1,11,0,6,287,636,5,56,0,54,641,3
216,0,0,1,11,0,6,287,636,5,56,0,54,641,3
217,0,0,1,11,0,6,287,636,5,56,0,54,641,3
218,0,0,1,11,0,6,287,636,5,56,0,54,641,3
219,0,0,1,11,0,6,287,636,5,56,0,54,641,3
220,0,0,1,11,0,6,287,636,5,56,0,54,641,3
221,0,0,1,11,0,6,287,636,5,56,0,54,641,3
222,0,0,1,11,0,6,287,636,5,56,0,54,641,3
223,0,0,1,11,0,6,287,636,5,56,0,54,641,3
224,0,0,1,11,0,6,287,636,5,56,0,54,641,3
225,0,0,1,11,0,6,287,636,5,56,0,54,641,3
226,0,0,1,11,0,6,287,636,5,56,0,54,641,3
227,0,0,1,11,0,6,287,636,5,56,0,54,641,3
228,0,0,1,11,0,6,287,636,5,56,0,54,641,3
229,0,0,1,11,0,6,287,636,5,56,0,54,641,3
230,0,0,1,11,0,6,287,636,5,56,0,54,641,3
231,0,0,1,11,0,6,287,636,5,56,0,54,641,3
232,0,0,1,11,0,6,287,636,5,56,0,54,641,3
233,0,0,1,11,0,6,287,636,5,56,0,54,641,3
234,0,0,1,11,0,6,287,636,5,56,0,54,641,3
235,0,0,1,11,0,6,287,636,5,56,0,54,641,3
236,0,0,1,11,0,6,287,636,5,56,0,54,641,3
237,0,0,1,11,0,6,287,636,5,56,0,54,641,3
238,0,0,1,11,0,6,287,636,5,56,0,54,641,3
239,0,0,1,11,0,6,287,636,5,56,0,54,641,3
240,0,0,1,11,0,6,287,636,5,56,0,54,641,3
241,0,0,1,11,0,6,287,636,5,56,0,54,641,3
242,0,0,1,11,0,6,287,636,5,56,0,54,641,3
243,0,0,1,11,0,6,287,636,5,56,0,54,641,3
244,0,0,1,11,0,6,287,636,5,56,0,54,641,3
245,0,0,1,11,0,6,287,636,5,56,0,54,641,3
246,0,0,1,11,0,6,287,636,5,56,0,54,641,3
247,0,0,1,11,0,6,287,636,5,56,0,54,641,3
248,0,0,1,11,0,6,287,636,5,56,0,54,641,3
249,0,0,1,11,0,6,287,636,5,56,0,54,641,3
250,0,0,1,11,0,6,287,636,5,56,0,54,641,3
251,0,0,1,11,0,6,287,636,5,56,0,54,641,3
252,0,0,1,11,0,6,287,636,5,56,0,54,641,3
253,0,0,1,11,0,6,287,636,5,56,0,54,641,3
254,0,0,1,11,0,6,287,636,5,56,0,54,641,3
255,0,0,1,11,0,6,287,636,5,56,0,54,641,3
256,0,0,1,11,0,6,287,636,5,56,0,54,641,3
257,0,0,1,11,0,6,287,636,5,56,0,54,641,3
258,0,0,1,11,0,6,287,636,5,56,0,54,641,3
259,0,0,1,11,0,6,287,636,5,56,0,54,641,3
260,0,0,1,11,0,6,287,636,5,56,0,54,641,3
261,0,0,1,11,0,6,287,636,5,56,0,54,641,3
262,0,0,1,11,0,6,287,636,5,56,0,54,641,3
263,0,0,1,11,0,6,287,636,5,56,0,54,641,3
264,0,0,1,11,0,6,287,636,5,56,0,54,641,3
265,0,0,1,11,0,6,287,636,5,56,0,54,641,3
266,0,0,1,11,0,6,287,636,5,56,0,54,641,3
267,0,0,1,11,0,6,287,636,5,56,0,54,641,3
268,0,0,1,11,0,6,287,636,5,56,0,54,641,3
269,0,0,1,11,0,6,287,636,5,56,0,54,641,3
270,0,0,1,11,0,6,287,636,5,56,0,54,641,3
271,0,0,1,11,0,6,287,636,5,56,0,54,641,3
272,0,0,1,11,0,6,287,636,5,56,0,54,641,3
273,0,0,1,11,0,6,287,636,5,56,0,54,641,3
274,0,0,1,11,0,6,287,636,5,56,0,54,641,3
275,0,0,1,11,0,6,287,636,5,56,0,54,641,3
276,0,0,1,11,0,6,287,636,5,56,0,54,641,3
277,0,0,1,11,0,6,287,636,5,56,0,54,641,3
278,0,0,1,11,0,6,287,636,5,56,0,54,641,3
279,0,0,1,11,0,6,287,636,5,56,0,54,641,3
280,0,0,1,11,0,6,287,636,5,56,0,54,641,3
281,0,0,1,11,0,6,287,636,5,56,0,54,641,3
282,0,0,1,11,0,6,287,636,5,56,0,54,641,3
283,0,0,1,11,0,6,287,636,5,56,0,54,641,3
284,0,0,1,11,0,6,287,636,5,56,0,54,641,3
285,0,0,1,11,0,6,287,636,5,56,0,54,641,3
286,0,0,1,11,0,6,287,636,5,56,0,54,641,3
287,0,0,1,11,0,6,287,636,5,56,0,54,641,3
288,0,0,1,11,0,6,287,636,5,56,0,54,641,3
289,0,0,1,11,0,6,287,636,5,56,0,54,641,3
290,0,0,1,11,0,6,287,636,5,56,0,54,641,3
291,0,0,1,11,0,6,287,636,5,56,0,54,641,3
292,0,0,1,11,0,6,287,636,5,56,0,54,641,3
293,0,0,1,11,0,6,287,636,5,56,0,54,641,3
294,0,0,1,11,0,6,287,636,5,56,0,54,641,3
295,0,0,1,11,0,6,287,636,5,56,0,54,641,3
296,0,0,1,11,0,6,287,636,5,56,0,54,641,3
297,0,0,1,11,0,6,287,636,5,56,0,54,641,3
298,0,0,1,11,0,6,287,636,5,56,0,54,641,3
299,0,0,1,11,0,6,287,636,5,56,0,54,641,3
300,0,0,1,11,0,6,287,636,5,56,0,54,641,3
301,0,0,1,11,0,6,287,636,5,56,0,54,641,3
302,0,0,1,11,0,6,287,636,5,56,0,54,641,3
303,0,0,1,11,0,6,287,636,5,56,0,54,641,3
304,0,0,1,11,0,6,287,636,5,56,0,54,641,3
305,0,0,1,11,0,6,287,636,5,56,0,54,641,3
306,0,0,1,11,0,6,287,636,5,56,0,54,641,3
307,0,0,1,11,0,6,287,636,5,56,0,54,641,3
308,0,0,1,11,0,6,287,636,5,56,0,54,641,3
309,0,0,1,11,0,6,287,636,5,56,0,54,641,3
310,0,0,1,11,0,6,287,636,5,56,0,54,641,3
311,0,0,1,11,0,6,287,636,5,56,0,54,641,3
312,0,0,1,11,0,6,287,636,5,56,0,54,641,3
313,0,0,1,11,0,6,287,636,5,56,0,54,641,3
314,0,0,1,11,0,6,287,636,5,56,0,54,641,3
315,0,0,1,11,0,6,287,636,5,56,0,54,641,3
316,0,0,1,11,0,6,287,636,5,56,0,54,641,3
317,0,0,1,11,0,6,287,636,5,56,0,54,641,3
318,0,0,1,11,0,6,287,636,5,56,0,54,641,3
319,0,0,1,11,0,6,287,636,5,56,0,54,641,3
320,0,0,1,11,0,6,287,636,5,56,0,54,641,3
321,0,0,1,11,0,6,287,636,5,56,0,54,641,3
322,0,0,1,11,0,6,287,636,5,56,0,54,641,3
323,0,0,1,11,0,6,287,636,5,56,0,54,641,3
324,0,0,1,11,0,6,287,636,5,56,0,54,641,3
325,0,0,1,11,0,6,287,636,5,56,0,54,641,3
326,0,0,1,11,0,6,287,636,5,56,0,54,641,3
327,0,0,1,11,0,6,287,636,5,56,0,54,641,3
328,0,0,1,11,0,6,287,636,5,56,0,54,641,3
329,0,0,1,11,0,6,287,636,5,56,0,54,641,3
330,0,0,1,11,0,6,287,636,5,56,0,54,641,3
331,0,0,1,11,0,6,287,636,5,56,0,54,641,3
332,0,0,1,11,0,6,287,636,5,56,0,54,641,3
333,0,0,1,11,0,6,287,636,5,56,0,54,641,3
334,0,0,1,11,0,6,287,636,5,56,0,54,641,3
335,0,0,1,11,0,6,287,636,5,56,0,54,641,3
336,0,0,1,11,0,6,287,636,5,56,0,54,641,3
337,0,0,1,11,0,6,287,636,5,56,0,54,641,3
338,0,0,1,11,0,6,287,636,5,56,0,54,641,3
339,0,0,1,11,0,6,287,636,5,56,0,54,641,3
340,0,0,1,11,0,6,287,636,5,56,0,54,641,3
341,0,0,1,11,0,6,287,636,5,56,0,54,641,3
342,0,0,1,11,0,6,287,636,5,56,0,54,641,3
343,0,0,1,11,0,6,287,636,5,56,0,54,641,3
344,0,0,1,11,0,6,287,636,5,56,0,54,641,3
345,0,0,1,11,0,6,287,636,5,56,0,54,641,3
346,0,0,1,11,0,6,287,636,5,56,0,54,641,3
347,0,0,1,11,0,6,287,636,5,56,0,54,641,3
348,0,0,1,11,0,6,287,636,5,56,0,54,641,3
349,0,0,1,11,0,6,287,636,5,56,0,54,641,3
350,0,0,1,11,0,6,287,636,5,56,0,54,641,3
351,0,0,1,11,0,6,287,636,5,56,0,54,641,3
352,0,0,1,11,0,6,287,636,5,56,0,54,641,3
353,0,0,1,11,0,6,287,636,5,56,0,54,641,3
354,0,0,1,11,0,6,287,636,5,56,0,54,641,3
355,0,0,1,11,0,6,287,636,5,56,0,54,641,3
356,0,0,1,11,0,6,287,636,5,56,0,54,641,3
357,0,0,1,11,0,6,287,636,5,56,0,54,641,3
358,0,0,1,11,0,6,287,636,5,56,0,54,641,3
359,0,0,1,11,0,6,287,636,5,56,0,54,641,3
360,0,0,1,11,0,6,287,636,5,56,0,54,641,3
361,0,0,1,11,0,6,287,636,5,56,0,54,641,3
362,0,0,1,11,0,6,287,636,5,56,0,54,641,3
363,0,0,1,11,0,6,287,636,5,56,0,54,641,3
364,0,0,1,11,0,6,287,636,5,56,0,54,641,3
365,0,0,1,11,0,6,287,636,5,56,0,54,641,3
